EVALUACION_ID,ZONA_ID,ZONA_NOMBRE,REGION,PROVINCIA,DISTRITO,LATITUD,LONGITUD,ALTITUD_MSNM,SUPERFICIE_HA,TIPO_YACIMIENTO,MINERAL_PRINCIPAL,CONCESION_ID,ESTADO_CONCESION,EMPRESA_OPERADORA,ACCESIBILIDAD_SCORE,DISPONIBILIDAD_AGUA_SCORE,DISTANCIA_VIA_PRINCIPAL_KM,DISTANCIA_PLANTA_KM,FASE_EXPLORACION,ANIO,TRIMESTRE,MES,FECHA_EVALUACION,EVALUADOR,METODO_EVALUACION,SISMICIDAD_INDICE,DISTANCIA_FALLA_GEOLOGICA_KM,ESTABILIDAD_TALUD_SCORE,PENDIENTE_PROMEDIO_PCT,NIVEL_FREATICO_M,CAUDAL_INFILTRACION_LPS,POTENCIAL_DRENAJE_ACIDO_PH,EVENTOS_GEOLOGICOS_12M,DISTANCIA_AREA_PROTEGIDA_KM,DISTANCIA_CUERPO_AGUA_KM,INDICE_ESTRES_HIDRICO,COBERTURA_VEGETAL_PCT,CALIDAD_AIRE_PM10_UGM3,PASIVOS_AMBIENTALES_NUM,ESPECIES_SENSIBLES_NUM,CONSUMO_AGUA_M3_MES,HUELLA_CARBONO_TCO2E_MES,COMUNIDADES_INFLUENCIA_NUM,POBLACION_INFLUENCIA,DISTANCIA_COMUNIDAD_KM,CONFLICTOS_REGISTRADOS_12M,DIAS_PARALIZACION_12M,INDICE_ACEPTACION_SOCIAL,CONVENIOS_VIGENTES_NUM,EMPLEO_LOCAL_PCT,IDH_DISTRITAL,POBREZA_DISTRITAL_PCT,QUEJAS_REGISTRADAS_12M,COSTO_MITIGACION_EJECUTADO_USD,ACCIONES_MITIGACION_NUM,ESTADO_REVISION,REVISOR_ASIGNADO,DECISION_ESPECIALISTA,FECHA_DECISION,COMENTARIO_REVISION,MONEDA
EVR-000001,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Avanzada,2019,Q1,2019-01,2019-01-26,R. Salazar,Inspeccion de campo,6.24,7.31,1.79,41.1,31.1,32.16,4.0,3,71.34,13.08,0.295,5.1,72.3,2,2,6986.6,35,7,13641,11.88,6,14,0.392,3,15.1,0.436,39.7,28,542405.89,4,Rechazada,C. Ticona,Suspender actividades,2019-01-30,Se recomienda taller informativo con la comunidad de influencia directa,USD
EVR-000002,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2019,Q1,2019-03,2019-03-09,D. Vargas,Modelo estadistico,7.84,7.31,1.2,41.1,16.8,36.63,4.91,5,71.34,13.08,0.155,5.7,12.0,4,2,17724.3,35,7,13641,11.88,6,10,0.357,4,24.8,0.436,39.7,21,287274.32,5,Revisada,J. Mendoza,Continuar con monitoreo,2019-03-22,Actualizar linea base de calidad de aire,USD
EVR-000003,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Evaluacion Economica,2019,Q2,2019-04,2019-04-04,D. Vargas,Analisis documental,4.79,7.31,2.4,41.1,19.8,21.7,4.44,3,71.34,13.08,0.241,14.8,38.9,0,2,6467.6,418.9,7,13641,11.88,4,27,0.325,3,29.6,0.436,39.7,20,332980.2,2,Aprobada,D. Vargas,Continuar exploracion,2019-04-25,Aprobado condicionado a plan de manejo de aguas acidas,USD
EVR-000004,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2019,Q2,2019-05,2019-05-21,L. Chavez,Analisis documental,6.93,7.31,1.79,41.1,17.7,16.95,3.67,3,71.34,13.08,0.226,2.0,13.1,6,2,5669.3,262.0,7,13641,11.88,7,13,0.127,3,18.1,0.436,39.7,24,863000.18,8,Rechazada,P. Huaman,Suspender actividades,2019-06-06,Riesgo aceptable con monitoreo trimestral,USD
EVR-000005,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Prospeccion,2019,Q2,2019-06,2019-06-06,J. Mendoza,Analisis documental,5.46,7.31,2.7,41.1,43.8,30.22,6.22,2,71.34,13.08,0.264,19.6,12.0,2,2,19361.1,35,7,13641,11.88,7,36,0.326,5,20.9,0.436,39.7,7,269103.66,3,En revision,L. Chavez,,,,USD
EVR-000006,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2019,Q3,2019-07,2019-07-14,A. Quispe,Panel de expertos,3.47,7.31,1.85,41.1,20.6,26.45,4.64,3,71.34,13.08,0.177,2.0,49.3,3,2,3903.4,253.0,7,13641,11.88,7,15,0.222,2,13.7,0.436,39.7,30,729351.11,7,Pendiente,C. Ticona,,,,USD
EVR-000007,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Prospeccion,2019,Q3,2019-08,2019-08-23,P. Huaman,Analisis documental,6.62,7.31,2.74,41.1,46.5,9.83,3.58,3,71.34,13.08,0.05,5.0,35.1,3,2,5271.7,417.3,7,13641,11.88,8,22,0.156,0,28.5,0.436,39.7,24,674007.95,8,Rechazada,S. Ccahuana,Suspender actividades,2019-09-05,Riesgo aceptable con monitoreo trimestral,USD
EVR-000008,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Prospeccion,2019,Q3,2019-09,2019-09-17,D. Vargas,Panel de expertos,6.86,7.31,3.23,41.1,32.3,20.11,4.79,4,71.34,13.08,0.25,4.5,77.8,3,2,12869.4,1376.7,7,13641,11.88,6,28,0.529,2,8.5,0.436,39.7,25,444406.92,7,Pendiente,R. Salazar,,,,USD
EVR-000009,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2019,Q4,2019-10,2019-10-16,N. Bustamante,Analisis documental,6.58,7.31,2.26,41.1,52.6,28.25,5.16,3,71.34,13.08,0.413,24.2,12.0,0,2,800,520.3,7,13641,11.88,6,32,0.438,3,16.8,0.436,39.7,15,367700.26,7,Revisada,A. Quispe,Continuar con monitoreo,2019-10-28,Observado por cercania a area natural protegida,USD
EVR-000010,Z0001,Zona Yanacocha Baja II,Ancash,Huari,Recuay Centro,-9.8162,-78.04321,3506,2448.1,Sedimentario Exhalativo,Cobre,CON-238818,Vigente,Inka Copper Corp,1.88,4.59,75.9,158.5,Exploracion Inicial,2019,Q4,2019-12,2019-12-01,P. Huaman,Modelo estadistico,4.92,7.31,2.92,41.1,43.0,32.6,4.44,4,71.34,13.08,0.529,20.9,52.2,3,2,17847.6,204.9,7,13641,11.88,8,24,0.196,2,23.1,0.436,39.7,6,389349.99,7,En revision,S. Ccahuana,,,,USD
